region,date,incidenceBAG,cumulBAG,cumulOpenZH,compare
AG,2020-01-24,0,0,NA,NA
AG,2020-01-25,0,0,NA,NA
AG,2020-01-26,0,0,NA,NA
AG,2020-01-27,0,0,NA,NA
AG,2020-01-28,0,0,NA,NA
AG,2020-01-29,0,0,NA,NA
AG,2020-01-30,0,0,NA,NA
AG,2020-01-31,0,0,NA,NA
AG,2020-02-01,0,0,NA,NA
AG,2020-02-02,0,0,NA,NA
AG,2020-02-03,0,0,NA,NA
AG,2020-02-04,0,0,NA,NA
AG,2020-02-05,0,0,NA,NA
AG,2020-02-06,0,0,NA,NA
AG,2020-02-07,0,0,NA,NA
AG,2020-02-08,0,0,NA,NA
AG,2020-02-09,0,0,NA,NA
AG,2020-02-10,0,0,NA,NA
AG,2020-02-11,0,0,NA,NA
AG,2020-02-12,0,0,NA,NA
AG,2020-02-13,0,0,NA,NA
AG,2020-02-14,0,0,NA,NA
AG,2020-02-15,0,0,NA,NA
AG,2020-02-16,0,0,NA,NA
AG,2020-02-17,0,0,NA,NA
AG,2020-02-18,0,0,NA,NA
AG,2020-02-19,0,0,NA,NA
AG,2020-02-20,0,0,NA,NA
AG,2020-02-21,0,0,NA,NA
AG,2020-02-22,0,0,NA,NA
AG,2020-02-23,0,0,NA,NA
AG,2020-02-24,0,0,NA,NA
AG,2020-02-25,1,1,NA,NA
AG,2020-02-26,0,1,NA,NA
AG,2020-02-27,0,1,NA,NA
AG,2020-02-28,0,1,1,TRUE
AG,2020-02-29,2,3,NA,NA
AG,2020-03-01,2,5,NA,NA
AG,2020-03-02,1,6,2,FALSE
AG,2020-03-03,1,7,6,FALSE
AG,2020-03-04,3,10,7,FALSE
AG,2020-03-05,2,12,9,FALSE
AG,2020-03-06,2,14,12,FALSE
AG,2020-03-07,0,14,NA,NA
AG,2020-03-08,1,15,NA,NA
AG,2020-03-09,3,18,14,FALSE
AG,2020-03-10,3,21,17,FALSE
AG,2020-03-11,7,28,18,FALSE
AG,2020-03-12,7,35,27,FALSE
AG,2020-03-13,6,41,32,FALSE
AG,2020-03-14,10,51,NA,NA
AG,2020-03-15,8,59,NA,NA
AG,2020-03-16,33,92,52,FALSE
AG,2020-03-17,36,128,67,FALSE
AG,2020-03-18,35,163,101,FALSE
AG,2020-03-19,32,195,118,FALSE
AG,2020-03-20,37,232,168,FALSE
AG,2020-03-21,11,243,NA,NA
AG,2020-03-22,9,252,232,FALSE
AG,2020-03-23,42,294,241,FALSE
