continent,countryIso3
Asia,AFG
Europe,ALB
Antarctica,ATA
Africa,DZA
Oceania,ASM
Europe,AND
Africa,AGO
North America,ATG
Europe,AZE
Asia,AZE
South America,ARG
Oceania,AUS
Europe,AUT
North America,BHS
Asia,BHR
Asia,BGD
Europe,ARM
Asia,ARM
North America,BRB
Europe,BEL
North America,BMU
Asia,BTN
South America,BOL
Europe,BIH
Africa,BWA
Antarctica,BVT
South America,BRA
North America,BLZ
Asia,IOT
Oceania,SLB
North America,VGB
Asia,BRN
Europe,BGR
Asia,MMR
Africa,BDI
Europe,BLR
Asia,KHM
Africa,CMR
North America,CAN
Africa,CPV
North America,CYM
Africa,CAF
Asia,LKA
Africa,TCD
South America,CHL
Asia,CHN
Asia,TWN
Asia,CXR
Asia,CCK
South America,COL
Africa,COM
Africa,MYT
Africa,COG
Africa,COD
Oceania,COK
North America,CRI
Europe,HRV
North America,CUB
Europe,CYP
Asia,CYP
Europe,CZE
Africa,BEN
Europe,DNK
North America,DMA
North America,DOM
South America,ECU
North America,SLV
Africa,GNQ
Africa,ETH
Africa,ERI
Europe,EST
Europe,FRO
South America,FLK
Antarctica,SGS
Oceania,FJI
Europe,FIN
Europe,ALA
Europe,FRA
South America,GUF
Oceania,PYF
Antarctica,ATF
Africa,DJI
Africa,GAB
Europe,GEO
Asia,GEO
Africa,GMB
Asia,PSE
Europe,DEU
Africa,GHA
Europe,GIB
Oceania,KIR
Europe,GRC
North America,GRL
North America,GRD
North America,GLP
Oceania,GUM
North America,GTM
Africa,GIN
South America,GUY
North America,HTI
Antarctica,HMD
Europe,VAT
North America,HND
Asia,HKG
Europe,HUN
Europe,ISL
Asia,IND
Asia,IDN
Asia,IRN
Asia,IRQ
Europe,IRL
Asia,ISR
Europe,ITA
Africa,CIV
North America,JAM
Asia,JPN
Europe,KAZ
Asia,KAZ
Asia,JOR
Africa,KEN
Asia,PRK
Asia,KOR
Asia,KWT
Asia,KGZ
Asia,LAO
Asia,LBN
Africa,LSO
Europe,LVA
Africa,LBR
Africa,LBY
Europe,LIE
Europe,LTU
Europe,LUX
Asia,MAC
Africa,MDG
Africa,MWI
Asia,MYS
Asia,MDV
Africa,MLI
Europe,MLT
North America,MTQ
Africa,MRT
Africa,MUS
North America,MEX
Europe,MCO
Asia,MNG
Europe,MDA
Europe,MNE
North America,MSR
Africa,MAR
Africa,MOZ
Asia,OMN
Africa,NAM
Oceania,NRU
Asia,NPL
Europe,NLD
North America,ANT
North America,CUW
North America,ABW
North America,SXM
North America,BES
Oceania,NCL
Oceania,VUT
Oceania,NZL
North America,NIC
Africa,NER
Africa,NGA
Oceania,NIU
Oceania,NFK
Europe,NOR
Oceania,MNP
Oceania,UMI
North America,UMI
Oceania,FSM
Oceania,MHL
Oceania,PLW
Asia,PAK
North America,PAN
Oceania,PNG
South America,PRY
South America,PER
Asia,PHL
Oceania,PCN
Europe,POL
Europe,PRT
Africa,GNB
Asia,TLS
North America,PRI
Asia,QAT
Africa,REU
Europe,ROU
Europe,RUS
Asia,RUS
Africa,RWA
North America,BLM
Africa,SHN
North America,KNA
North America,AIA
North America,LCA
North America,MAF
North America,SPM
North America,VCT
Europe,SMR
Africa,STP
Asia,SAU
Africa,SEN
Europe,SRB
Africa,SYC
Africa,SLE
Asia,SGP
Europe,SVK
Asia,VNM
Europe,SVN
Africa,SOM
Africa,ZAF
Africa,ZWE
Europe,ESP
Africa,SSD
Africa,ESH
Africa,SDN
South America,SUR
Europe,SJM
Africa,SWZ
Europe,SWE
Europe,CHE
Asia,SYR
Asia,TJK
Asia,THA
Africa,TGO
Oceania,TKL
Oceania,TON
North America,TTO
Asia,ARE
Africa,TUN
Europe,TUR
Asia,TUR
Asia,TKM
North America,TCA
Oceania,TUV
Africa,UGA
Europe,UKR
Europe,MKD
Africa,EGY
Europe,GBR
Europe,GGY
Europe,JEY
Europe,IMN
Africa,TZA
North America,USA
North America,VIR
Africa,BFA
South America,URY
Asia,UZB
South America,VEN
Oceania,WLF
Oceania,WSM
Asia,YEM
Africa,ZMB
Europe,XKX
Europe,CHI
